cluster_number,dpt1,literate_women,pn3,vacc_card,lst_day,night_light,prec,travel_hfa_malaria_atlas,travel_time_cities,prop,N,n,lng,lat
986,0.83165709177653,0.969066162904104,0.808328727881114,0.717801968256632,26.5607681274414,0.0575279978414377,5.19857899347941,4.37924869855245,36.794314066569,100,1,1,35.105469,0.240849
987,0.826141655445099,0.957599878311157,0.793429970741272,0.705520510673523,25.3181838989258,0.176069676876068,5.60026407241821,3.07749891281128,30.9953994750977,100,1,1,35.088179,0.375098
989,0.82745686173439,0.964965924620628,0.804517731070519,0.701177686452866,26.0074071884155,0.253506353124976,5.6248369216919,2.42762738466263,23.2599997520447,100,6,6,35.100462,0.224598
991,0.830402970314026,0.960302571455638,0.8002942999204,0.712871352831523,25.0981190999349,0.0781416992346446,5.6725770632426,9.41545534133911,40.1352094014486,100,1,1,35.031211,0.286053
992,0.828407347202301,0.968296706676483,0.806536316871643,0.714459081490835,26.3192056020101,0.071344784150521,5.38852596282959,3.305371205012,29.276330947876,50,4,2,35.052223,0.250894
993,0.828048129876455,0.952324748039246,0.786130944887797,0.711072444915772,25.2016932169596,0.11679620295763,6.73983891805013,3.5866600672404,33.9713611602783,100,3,3,35.113037,0.296463
994,0.826822146773338,0.953286394476891,0.782921940088272,0.707464978098869,24.9326224327087,0.114306010305882,6.75990259647369,4.1466988325119,34.7948203086853,100,1,1,34.958545,0.174168
996,0.827702850103378,0.959642887115479,0.802904725074768,0.694532871246338,25.8072566986084,0.349884543567896,5.69422721862793,2.31388592720032,28.5779390335083,100,1,1,35.053832,0.19356
998,0.827718928456307,0.960103243589401,0.803057417273521,0.714861825108528,26.6015872955322,0.0754275172948837,5.23949837684631,2.89661347866058,32.7839150428772,50,2,1,35.074571,0.190994
999,0.827710390090942,0.964002788066864,0.805430412292481,0.705404996871948,25.9558200836182,0.197694852948189,5.6248369216919,2.65198588371277,22.19895362854,100,1,1,35.227442,0.221857
1000,0.825943171977997,0.962584137916565,0.802059859037399,0.713368743658066,26.6752252578735,0.0829783566296101,5.13879442214966,3.34225714206696,35.3572845458984,100,1,1,35.134636,0.214423
1001,0.82244469722112,0.962293028831482,0.801331102848053,0.702550788720449,25.5391731262207,0.163206810752551,5.45183881123861,2.9415545463562,35.8162364959717,100,2,2,35.234106,0.225985
